person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,games_played_flag,position,draft_year,draft_round,draft_num,birth_date,height_feet,height_inches,height,weight,season_exp,jersey,school,country,last_affiliation
1628439,"Hicks, Isaiah",Isaiah Hicks,t,2017,2018,isaiah_hicks,Y,Forward,,,,,6,9,6.8,242,1,4,North Carolina,USA,North Carolina/USA
1628463,"Cavanaugh, Tyler",Tyler Cavanaugh,f,2017,2017,tyler_cavanaugh,Y,Forward,,,,,6,9,6.8,238,1,34,George Washington,USA,George Washington/USA
1628464,"Theis, Daniel",Daniel Theis,t,2017,2018,daniel_theis,Y,Forward,,,,,6,9,6.8,243,1,27,,Germany,Germany/Germany
1628493,"Mathiang, Mangok",Mangok Mathiang,f,2017,2017,mangok_mathiang,Y,Forward,,,,,6,10,6.8,230,1,9,Louisville,Australia,Louisville/Australia
1628518,"Jefferson, Amile",Amile Jefferson,t,2017,2018,amile_jefferson,Y,Forward,,,,,6,9,6.8,224,0,11,Duke,USA,Duke/USA
1628966,"Bates-Diop, Keita",Keita Bates-Diop,t,2018,2018,keita_bates-diop,N,Forward,2018,2,,,6,9,6.8,223,0,,Ohio State,USA,Ohio State University/USA
1628976,"Carter Jr., Wendell",Wendell Carter Jr.,t,2018,2018,wendell_carter_jr,N,Forward,2018,1,,,6,10,6.8,251,0,,West Virginia,USA,Duke University/USA
1628995,"Knox, Kevin",Kevin Knox,t,2018,2018,kevin_knox,N,Forward,2018,1,,,6,9,6.8,212,0,,Kentucky,USA,University of Kentucky/USA
1629002,"Metu, Chimezie",Chimezie Metu,t,2018,2018,chimezie_metu,N,Forward,2018,2,,,6,10,6.8,219,0,7,Southern California,USA,University of Southern California\USA
1629008,"Porter Jr., Michael",Michael Porter Jr.,t,2018,2018,michael_porter_jr,N,Forward,2018,1,,,6,10,6.8,215,0,,Missouri,USA,University of Missouri/USA
1629009,"Preston, Billy",Billy Preston,t,2018,2018,billy_preston,N,Forward,,,,,6,10,6.8,240,0,,University of Kansas,USA,University of Kansas/USA
1629016,"Spellman, Omari",Omari Spellman,t,2018,2018,omari_spellman,N,Forward,2018,1,,,6,9,6.8,253,0,,Villanova,USA,Villanova University/USA
1629020,"Vanderbilt, Jarred",Jarred Vanderbilt,t,2018,2018,jarred_vanderbilt,N,Forward,2018,2,,,6,9,6.8,214,0,,Kentucky,USA,University of Kentucky/USA
1629034,"Spalding, Ray",Ray Spalding,t,2018,2018,ray_spalding,N,Forward,2018,2,,,6,10,6.8,215,0,,Louisville,USA,Louisville/USA
1629057,"Williams III, Robert",Robert Williams III,t,2018,2018,robert_williams,N,Forward,2018,1,,,6,10,6.8,241,0,44,Texas A&M,USA,Texas A&M University/USA
1629058,"Musa, Dzanan",Dzanan Musa,t,2018,2018,dzanan_musa,N,Guard,2018,1,,,6,9,6.8,195,0,,,Bosnia and Herzegovina,Bosnia and Herzegovina/Bosnia and Herzegovina
1629066,"Kurucs, Rodions",Rodions Kurucs,t,2018,2018,rodions_kurucs,N,Forward,2018,2,,,6,9,6.8,220,0,,,Latvia,Latvia/Latvia
1629067,"Bonga, Isaac",Isaac Bonga,t,2018,2018,isaac_bonga,N,Guard,2018,2,,,6,9,6.8,203,0,17,,Germany,Germany/Germany
1629083,"Kulboka, Arnoldas",Arnoldas Kulboka,t,2018,2018,arnoldas_kulboka,N,Forward,2018,2,,,6,10,6.8,213,0,,,Lithuania,Lithuania/Lithuania
1629116,"Delgado, Angel",Angel Delgado,t,2018,2018,angel_delgado,N,Center,,,,,6,10,6.8,245,0,,,Dominican Republic,Dominican Republic/Dominican Republic
1629139,"Watanabe, Yuta",Yuta Watanabe,t,2018,2018,yuta_watanabe,N,Guard,,,,,6,9,6.8,205,0,,George Washington,Japan,George Washington/Japan
1629140,"Williams, Johnathan",Johnathan Williams,t,2018,2018,johnathan_williams,N,Forward,,,,,6,9,6.8,228,0,,Gonzaga,USA,Gonzaga/USA
1629150,"Terry, Emanuel",Emanuel Terry,t,2018,2018,emanuel_terry,N,Forward,,,,,6,9,6.8,220,0,,Lincoln Memorial (TN),USA,Lincoln Memorial (TN)/USA
1629159,"Lee, Marcus",Marcus Lee,t,2018,2018,marcus_lee,N,Forward,,,,,6,10,6.8,225,0,24,California,USA,California/USA
7,"Schayes, Dan",Dan Schayes,f,1981,1998,dan_schayes,Y,Center,1981,1,,,6,11,6.9,260,17,24,Syracuse,USA,Syracuse/USA
38,"Lohaus, Brad",Brad Lohaus,f,1987,1997,brad_lohaus,Y,Forward,1987,2,,,6,11,6.9,230,10,54,Iowa,USA,Iowa/USA
73,"Williams, Hot Rod",Hot Rod Williams,f,1986,1998,hot rod_williams,Y,Center,1985,2,,,6,11,6.9,245,12,18,Tulane,USA,Tulane/USA
136,"Brown, P.J.",P.J. Brown,f,1993,2007,p.j._brown,Y,Forward,1992,2,,,6,11,6.9,239,15,93,Louisiana Tech,USA,Louisiana Tech/USA
176,"Harvey, Antonio",Antonio Harvey,f,1993,2002,antonio_harvey,Y,Forward,,,,,6,11,6.9,250,7,4,Pfeiffer,USA,Pfeiffer ''93/USA
183,"Dele, Bison",Bison Dele,f,1991,1998,bison_dele,Y,Center,1991,1,,,6,11,6.9,260,7,8,Arizona,USA,Maryland; Arizona/USA
201,"Dudley, Chris",Chris Dudley,f,1987,2002,chris_dudley,Y,Center,1987,4,,,6,11,6.9,260,16,14,Yale,USA,Yale ''87/USA
287,"Leckner, Eric",Eric Leckner,f,1988,1996,eric_leckner,Y,Center,1988,1,,,6,11,6.9,265,7,55,Wyoming,USA,Wyoming/USA
316,"Manning, Richard",Richard Manning,f,1995,1996,richard_manning,Y,Center,1993,2,,,6,11,6.9,245,1,50,Washington,USA,Syracuse; Washington/USA
321,"Haskin, Scott",Scott Haskin,f,1993,1993,scott_haskin,Y,Forward,1993,1,,,6,11,6.9,250,0,43,Oregon State,USA,Oregon State/USA
323,"Foster, Greg",Greg Foster,f,1990,2002,greg_foster,Y,Center,1990,2,,,6,11,6.9,250,12,43,Texas-El Paso,USA,Texas-El Paso ''90/USA
351,"King, Stacey",Stacey King,f,1989,1996,stacey_king,Y,Forward,1989,1,,,6,11,6.9,250,7,33,Oklahoma,USA,Oklahoma/USA
363,"Laettner, Christian",Christian Laettner,f,1992,2004,christian_laettner,Y,Forward,1992,1,,,6,11,6.9,245,13,44,Duke,USA,Duke/USA
389,"Kukoc, Toni",Toni Kukoc,f,1993,2005,toni_kukoc,Y,Forward,1990,2,,,6,11,6.9,235,12,7,Croatia,Croatia,Croatia/Croatia
